accuracy,f1_score,precision,recall
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984917043740573,1.0,0.9984732824427481,0.9992360580595875
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9982935153583617,1.0,0.9982758620689656,0.999137187230371
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987293519695044,1.0,0.998719590268886,0.9993593850096092
1.0,1.0,1.0,1.0
0.9986754966887417,1.0,0.9986648865153538,0.9993319973279893
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985401459854014,1.0,0.9985272459499264,0.9992630803242447
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9983870967741936,1.0,0.99836867862969,0.9991836734693877
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984639016897081,1.0,0.9984496124031008,0.9992242048099301
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9991319444444444,1.0,0.9991258741258742,0.9995627459554001
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9966480446927374,1.0,0.9966254218222722,0.9983098591549295
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.998792270531401,1.0,0.9987834549878345,0.9993913572732805
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9921875,1.0,0.9921156373193167,0.996042216358839
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9954476479514416,1.0,0.9954058192955589,0.9976976208749041
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9976635514018691,1.0,0.9976470588235294,0.9988221436984688
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984544049459042,1.0,0.9984399375975039,0.9992193598750976
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9963636363636363,1.0,0.9963369963369964,0.998165137614679
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985443959243085,1.0,0.9985294117647059,0.9992641648270787
0.9988193624557261,1.0,0.9988095238095238,0.9994044073853484
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
