daytime,accuracy,loss,training_time,benign_count,malicious_count,flow_num
2022-08-08 07:51:35,1.0,0.00047231523785740137,0.041161298751831055,14,906,920
2022-08-08 08:51:35,0.9988649487495422,0.004434340167790651,0.043521881103515625,12,869,881
2022-08-08 09:51:35,1.0,0.000815522507764399,0.04217219352722168,14,763,777
2022-08-08 10:51:35,1.0,0.0005532627110369503,0.04255557060241699,12,770,782
2022-08-08 11:51:35,1.0,0.00034871819661930203,0.04605841636657715,14,1134,1148
2022-08-08 12:51:35,1.0,0.0004272514779586345,0.05680441856384277,14,971,985
2022-08-08 13:51:35,1.0,0.0005065865116193891,0.05853414535522461,16,933,949
2022-08-08 14:51:35,1.0,0.0005328108672983944,0.04117631912231445,12,760,772
2022-08-08 15:51:35,1.0,0.0003588271210901439,0.041304588317871094,14,865,879
2022-08-08 16:51:35,1.0,0.0003284035192336887,0.050217628479003906,12,803,815
2022-08-08 17:51:35,1.0,0.0003661432128865272,0.040195465087890625,12,738,750
2022-08-08 18:51:35,1.0,0.00043827504850924015,0.0498347282409668,13,731,744
2022-08-08 19:51:35,1.0,0.00034170507569797337,0.04692506790161133,12,684,696
2022-08-08 20:51:35,1.0,0.0004755317931994796,0.046098947525024414,14,753,767
2022-08-08 21:51:35,1.0,0.0003284863196313381,0.03969836235046387,14,882,896
2022-08-08 22:51:35,1.0,0.00047152271145023406,0.04501962661743164,13,754,767
2022-08-08 23:51:35,1.0,0.0008344778325408697,0.04723978042602539,13,602,615
2022-08-09 00:51:35,1.0,0.00035173300420865417,0.04218125343322754,12,693,705
2022-08-09 01:51:35,1.0,0.0018241460202261806,0.03621649742126465,1,6,7
2022-08-09 02:51:35,1.0,0.0003376185486558825,0.046292781829833984,13,821,834
2022-08-09 03:51:35,0.9989142417907715,0.0017609181813895702,0.045102834701538086,14,907,921
2022-08-09 04:51:35,1.0,0.00028371045482344925,0.04457354545593262,12,770,782
2022-08-09 05:51:35,1.0,0.0004045024688821286,0.04358553886413574,12,752,764
2022-08-09 06:51:35,1.0,0.000667245767544955,0.04392099380493164,12,803,815
2022-08-09 07:51:35,1.0,0.0007149525335989892,0.04225635528564453,14,769,783
2022-08-09 08:51:35,1.0,0.00047890146379359066,0.04287266731262207,12,803,815
2022-08-09 09:51:35,1.0,0.00034860020969063044,0.0372011661529541,13,739,752
2022-08-09 10:51:35,1.0,0.000415692018577829,0.039691925048828125,13,704,717
2022-08-09 11:51:35,1.0,0.0003452479431871325,0.04062342643737793,12,741,753
2022-08-09 12:51:35,1.0,0.00029286558856256306,0.042214393615722656,14,747,761
2022-08-09 13:51:35,1.0,0.00021502231538761407,0.042403221130371094,12,935,947
2022-08-09 14:51:35,1.0,0.00021635157463606447,0.03853774070739746,13,878,891
2022-08-09 15:51:35,1.0,0.00024668907281011343,0.04289603233337402,12,959,971
2022-08-09 16:51:35,0.9988839030265808,0.0043531740084290504,0.042639732360839844,12,884,896
2022-08-09 17:51:35,1.0,0.00023333754506893456,0.04203915596008301,12,929,941
